model,error_code,title,meaning,actions,service_condition,safety_note,brand,region,signal_type,source_url,source_locator,retrieved_at,catalog_version
S10,E01,碰撞缓冲器异常,碰撞缓冲器被卡住或回弹受阻,关机并移除周围障碍物|轻按缓冲器确认可正常回弹|重启设备复测,清理后仍持续报错时联系售后,不要拆卸缓冲器内部组件,Demo,DEMO,numeric_code,,,,demo-v1
S10,E05,主刷受阻,主刷被毛发或异物卡住,关机并取下主刷|清除缠绕物并重新安装|重启设备复测,主刷无法转动或出现焦糊味时联系售后,操作前必须关机并断开充电,Demo,DEMO,numeric_code,,,,demo-v1
S10,E12,左驱动轮受阻,左侧驱动轮被异物卡住或无法正常转动,关机并清理轮组周围异物|轻转驱动轮确认无卡滞|移到平整地面复测,轮组仍卡滞或异响时联系售后,不要向轮组内部加水或自行拆机,Demo,DEMO,numeric_code,,,,demo-v1
S20,E01,碰撞缓冲器异常,碰撞缓冲器被卡住或传感器受遮挡,关机并清理缓冲器缝隙|擦拭前部传感器|重启设备复测,清理后仍持续报错时联系售后,不要使用湿布擦拭传感器内部,Demo,DEMO,numeric_code,,,,demo-v1
S20,E05,主刷受阻,主刷或滚刷仓被毛发和异物卡住,关机并取下主刷|清洁滚刷仓和轴承端|重新安装后复测,主刷电机异响或无法启动时联系售后,操作前必须关机并断开充电,Demo,DEMO,numeric_code,,,,demo-v1
S20,E12,出水系统异常,水箱缺水或出水通道受阻,确认水箱水量和安装状态|清洁出水口表面异物|重新安装水箱后复测,补水和重装后仍不出水时联系售后,不要用尖锐物深入疏通水路,Demo,DEMO,numeric_code,,,,demo-v1
X30,E01,基站集尘通道异常,集尘袋未装好或集尘通道堵塞,关机并检查集尘袋安装|清理可见通道异物|重新安装集尘袋后复测,通道清理后仍无法集尘时联系售后,清理前先断开基站电源,Demo,DEMO,numeric_code,,,,demo-v1
X30,E05,拖布模组受阻,拖布盘被异物缠绕或安装不到位,关机并取下拖布盘|清除缠绕物|重新扣紧拖布盘后复测,拖布电机异响或无法转动时联系售后,不要在通电状态下触碰拖布模组,Demo,DEMO,numeric_code,,,,demo-v1
X30,E12,基站污水箱异常,污水箱已满或未正确安装,取出并清空污水箱|清洁箱盖和浮子|重新安装到位后复测,污水箱空置且安装正确仍报错时联系售后,处理污水后请洗手并擦干基站表面,Demo,DEMO,numeric_code,,,,demo-v1
T7S PLUS,1,激光头受阻,激光测距传感器被遮挡或卡住,拨动激光头确认能转动|清除可见遮挡物|移到新位置后重试,无法安全清除或仍报错时联系石头官方售后,不要拆卸激光模组,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,2,碰撞缓冲器卡住,碰撞缓冲器被异物卡住,轻拍缓冲器数次排出异物|确认回弹正常|移到新位置后重试,没有异物但仍报错时联系石头官方售后,不要拆卸缓冲器内部组件,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
